,reward,v_violations,i_violations,losses,demand,T,tau,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6
0,-16.28185661968989,0.15677993727670703,0.32201166227235306,0.28185122974683463,25291.724489448377,16,6,100,1,1,1,1000,1000
1,258.8778906395208,0.12954451697919334,0.296397586093225,0.27456226915466375,24367.71967513802,16,6,100,1,1,1,1000,1000
2,269.85265724332294,0.0790610166947946,0.23562074031819877,0.25841270527784405,22828.663617007227,16,6,100,1,1,1,1000,1000
3,537.8584664168342,0.02973783071565539,0.15903274271304796,0.23910068819874084,21624.527344730734,16,6,100,1,1,1,1000,1000
4,549.0963195753942,0.009704455621037611,0.13464199962707724,0.23290091493799805,20517.37304352485,16,6,100,1,1,1,1000,1000
5,418.95479915351746,0.0009795622159483042,0.08982389281143455,0.2225326559913826,20264.28653677837,16,6,100,1,1,1,1000,1000
6,586.7174666232155,0.0,0.04583640143235243,0.21221901667301696,20180.062322835616,16,6,100,1,1,1,1000,1000
7,518.9559911467007,0.0,0.03629990993092463,0.21007481861246416,20496.87881044562,16,6,100,1,1,1,1000,1000
8,513.8200093722477,0.0,0.0028395126595110298,0.20212403074220456,20254.95790845733,16,6,100,1,1,1,1000,1000
9,582.756943949646,0.0,0.0,0.13265108209228005,20721.36759313813,16,6,100,1,1,1,1000,1000
10,629.948994000657,0.0,0.0,0.05100599934306463,21672.77515338381,16,6,100,1,1,1,1000,1000
11,573.1322270739233,0.0,0.0,0.021489985099201983,22977.820157926508,16,6,100,1,1,1,1000,1000
12,719.9769243572724,0.0,0.0,0.02307564272760611,23126.848094670713,16,6,100,1,1,1,1000,1000
13,809.974928755349,0.0,0.0,0.025071244651012577,23274.35014810355,16,6,100,1,1,1,1000,1000
14,809.9756836462408,0.0,0.0,0.02431635375918872,23490.633496759034,16,6,100,1,1,1,1000,1000
15,674.5519845675072,0.0,0.0,0.021866064206597178,23627.98207745979,16,6,100,1,1,1,1000,1000
16,719.9767244641059,0.0,0.0,0.023275535894046313,23259.294797458057,16,6,100,1,1,1,1000,1000
17,-62.99538806452301,0.0,0.0,0.09227418369415138,23383.399973449825,16,6,100,1,1,1,1000,1000
18,805.5180336842019,0.042666983025369754,0.008933618865029018,0.20633439439606274,25080.175534247763,16,6,100,1,1,1,1000,1000
19,706.0563805637861,0.13857329458836265,0.19789982832829695,0.25145396130519615,26336.884057783147,16,6,100,1,1,1,1000,1000
20,744.4008941660793,0.16080211422418966,0.24419781473648855,0.26348520150155824,26589.6720597008,16,6,100,1,1,1,1000,1000
21,787.4568187687283,0.21985308940224602,0.28393903979298,0.2739332512541115,28942.985212432424,16,6,100,1,1,1,1000,1000
22,614.8536596438224,0.21047070758092112,0.28463577396054773,0.27399394680558004,28541.254706402993,16,6,100,1,1,1,1000,1000
23,-766.8179828988075,0.1531193239928883,0.24283172886321622,0.26208937101846885,27230.381516690202,16,6,100,1,1,1,1000,1000
24,677.5522077979678,0.16113760283182632,0.25159107783094653,0.2643980858916447,26733.53680985336,16,6,100,1,1,1,1000,1000
25,619.4034577474747,0.10155795527793465,0.1921234631532181,0.24862326157853923,24935.294942847446,16,6,100,1,1,1,1000,1000
26,646.2290875896141,0.05488106164824735,0.14518958432276435,0.23652985398749998,23168.45518547903,16,6,100,1,1,1,1000,1000
27,625.3282144700457,0.04310369873170494,0.1290059770529146,0.23240967973086185,22726.352861569037,16,6,100,1,1,1,1000,1000
28,699.0594750838287,0.02735395938333185,0.1156983429394866,0.2290943311876391,22150.9928564285,16,6,100,1,1,1,1000,1000
29,614.8366648861544,0.025518662687500027,0.10948372239997,0.22761564652989233,22107.066776562602,16,6,100,1,1,1,1000,1000
30,626.5291556133371,0.031214110537958306,0.1193997858724893,0.23003354699451273,22300.298638464636,16,6,100,1,1,1,1000,1000
31,624.6893449573578,0.049354707603505354,0.13997556807465344,0.23520871421705858,22979.622081609756,16,6,100,1,1,1,1000,1000
32,629.6005196199857,0.05091415545408706,0.1228788880526264,0.23138669881131577,23395.87923745749,16,6,100,1,1,1,1000,1000
33,712.8117281232793,0.0,0.0,0.14191567554879733,25590.787616978185,16,6,100,1,1,1,1000,1000
34,629.9424939956378,0.0,0.0,0.057506004362125156,26544.157002599906,16,6,100,1,1,1,1000,1000
35,-174.26176732460715,0.0,0.0,0.028142476103600343,26835.34640118714,16,6,100,1,1,1,1000,1000
36,809.9696876117811,0.0,0.0,0.030312388218888833,28167.62459132811,16,6,100,1,1,1,1000,1000
37,680.4541183515896,0.0,0.0,0.02986182724335439,28261.212101092402,16,6,100,1,1,1,1000,1000
38,809.9715612338991,0.0,0.0,0.028438766100846894,28282.55299221162,16,6,100,1,1,1,1000,1000
39,771.8909989749909,0.0,0.0,0.02695451622004993,27960.08298574121,16,6,100,1,1,1,1000,1000
40,809.9662655222035,0.0,0.0,0.03373447779648681,27744.550868625283,16,6,100,1,1,1,1000,1000
41,331.5751600169436,0.0,0.0,0.07174903901560736,27703.097705332948,16,6,100,1,1,1,1000,1000
42,800.2001965522167,0.09609755569901035,0.0,0.1900478778823401,28195.282221229852,16,6,100,1,1,1,1000,1000
43,772.6514537367832,0.22312934426851527,0.2735370059309847,0.272652985951812,29949.668163678976,16,6,100,1,1,1,1000,1000
44,690.9497030656983,0.2838253828787469,0.36924580256549505,0.29851284386158955,31292.903655406408,16,6,100,1,1,1,1000,1000
45,658.5200803524019,0.3121773857639508,0.4001444837842716,0.3070973173991715,31905.80174020991,16,6,100,1,1,1,1000,1000
46,692.0196803660438,0.2976333509820448,0.3694724089302119,0.2980641135159034,31386.605586136735,16,6,100,1,1,1,1000,1000
47,-1140.52267672384,0.2298732533549408,0.2932799639868982,0.2764831014033174,29221.32539496916,16,6,100,1,1,1,1000,1000
