,reward,v_violations,i_violations,losses,demand,T,tau,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6
0,-13.183907929923592,0.1268309155376507,0.24003254064223342,0.26078383551629125,25208.902369288317,16,6,100,1,1,1,1000,1000
1,440.2574403052635,0.09298002886186019,0.19500062402239338,0.24916994642990511,24264.508102589363,16,6,100,1,1,1,1000,1000
2,445.72169054669143,0.03924084057393873,0.12298976024278843,0.23114980498340493,22712.796041707406,16,6,100,1,1,1,1000,1000
3,449.23094307918825,0.0049206321718126,0.06077198686116475,0.21613588608085849,21349.39822830998,16,6,100,1,1,1,1000,1000
4,449.7712583663101,0.0,0.021711683029833326,0.20694411997157638,20387.11038129165,16,6,100,1,1,1,1000,1000
5,446.27344298386237,0.0,0.01086609474688487,0.20440776548579043,20049.085651014866,16,6,100,1,1,1,1000,1000
6,449.77928590672565,0.0,0.01528648883876869,0.20542760443553207,20147.950801982504,16,6,100,1,1,1,1000,1000
7,449.76086193529966,0.0,0.030237921229356174,0.20890014347097477,20493.508084319223,16,6,100,1,1,1,1000,1000
8,449.788031759618,0.0,0.008120125079264682,0.2038481153027927,20227.042941174863,16,6,100,1,1,1,1000,1000
9,449.8644411854694,0.0,0.0,0.1355588145306158,20738.317058378645,16,6,100,1,1,1,1000,1000
10,449.9447380108461,0.0,0.0,0.05526198915389517,22257.074237563353,16,6,100,1,1,1,1000,1000
11,355.04589892391175,0.0,0.0,0.023529904368841496,23478.294446854186,16,6,100,1,1,1,1000,1000
12,449.97709434495044,0.0,0.0,0.022905655049576992,24030.05623480125,16,6,100,1,1,1,1000,1000
13,449.9754592109982,0.0,0.0,0.024540789001784257,24576.16857057608,16,6,100,1,1,1,1000,1000
14,449.9758354535163,0.0,0.0,0.024164546483697057,24537.564090663684,16,6,100,1,1,1,1000,1000
15,449.97817144892167,0.0,0.0,0.021828551078317125,23460.40461153259,16,6,100,1,1,1,1000,1000
16,449.9759381245307,0.0,0.0,0.02406187546927222,23074.359670182184,16,6,100,1,1,1,1000,1000
17,325.99257871594864,0.0,0.0,0.09640842928895131,23533.847264397795,16,6,100,1,1,1,1000,1000
18,439.0246336232647,0.10656390357406265,0.09337784615700187,0.22559817317198289,26208.85609356912,16,6,100,1,1,1,1000,1000
19,429.0976828232046,0.20313458154051733,0.30921169276389365,0.2796473299797863,27689.95043853312,16,6,100,1,1,1,1000,1000
20,424.84553785757396,0.24479682503893818,0.37677545929851647,0.29800417923373157,28625.874000545595,16,6,100,1,1,1,1000,1000
21,422.3734903805528,0.2690055984523272,0.41680731662328424,0.30914245759115694,29150.330176886586,16,6,100,1,1,1,1000,1000
22,424.33211716548124,0.24973549021146368,0.39216722671356335,0.30216658665883256,28641.880832198785,16,6,100,1,1,1,1000,1000
23,-17.929630035462708,0.17406618293146925,0.2996963352989407,0.27662843107047175,26539.34836687504,16,6,100,1,1,1,1000,1000
24,431.024133378921,0.1838245984421797,0.3131570445725707,0.2802497322884357,26795.45616912427,16,6,100,1,1,1,1000,1000
25,438.442268373926,0.11085564902491796,0.2172662755905759,0.25490044799156036,24785.197860812415,16,6,100,1,1,1,1000,1000
26,444.24515294650445,0.0537742118651513,0.14165403792158898,0.23577182905879834,23164.750739019568,16,6,100,1,1,1,1000,1000
27,446.33785273201676,0.03320464421146252,0.11297243522264168,0.22871041161435446,22530.130525391505,16,6,100,1,1,1,1000,1000
28,447.5486625883439,0.02133438545436539,0.09383601112944277,0.2240628550900694,22112.07211738027,16,6,100,1,1,1,1000,1000
29,347.8498793501951,0.019365620296823982,0.08714378913766836,0.22249024827053618,22083.82492764978,16,6,100,1,1,1,1000,1000
30,447.1120296820238,0.02561838382557169,0.10045799234839393,0.2256739430706516,22280.61368277219,16,6,100,1,1,1,1000,1000
31,444.87317109025963,0.04759652160452266,0.13343774179679044,0.23373900749130422,22986.793425818774,16,6,100,1,1,1,1000,1000
32,443.6344202756619,0.060035551906977846,0.12908390908240322,0.2329406245579091,23621.413621979398,16,6,100,1,1,1,1000,1000
33,449.48785374805783,0.0036308186922914265,0.0,0.14906438271306727,25631.671935862338,16,6,100,1,1,1,1000,1000
34,449.93498461302744,0.0,0.0,0.06501538697256196,27602.384185127674,16,6,100,1,1,1,1000,1000
35,221.38311846936745,0.0,0.0,0.03068892760040955,28680.48528172601,16,6,100,1,1,1,1000,1000
36,449.96953752385537,0.0,0.0,0.03046247614462129,28679.543732207272,16,6,100,1,1,1,1000,1000
37,449.9694198736761,0.0,0.0,0.030580126323926517,29026.042585343446,16,6,100,1,1,1,1000,1000
38,449.96979718364514,0.0,0.0,0.03020281635487588,28839.611144714978,16,6,100,1,1,1,1000,1000
39,449.9711101484092,0.0,0.0,0.028889851590792468,27645.696614021974,16,6,100,1,1,1,1000,1000
40,449.96265241386567,0.0,0.0,0.037347586134320265,27030.84943829194,16,6,100,1,1,1,1000,1000
41,-17.163932661832803,0.0,0.0,0.07872050621516472,26877.373030720144,16,6,100,1,1,1,1000,1000
42,435.98581572292983,0.13794255908763098,0.011799357975877597,0.20812901033122366,28655.06279575051,16,6,100,1,1,1,1000,1000
43,416.8082431237965,0.3245791841220361,0.4220096046952449,0.3118288593046156,31406.33906132783,16,6,100,1,1,1,1000,1000
44,410.0082245916275,0.39103125255635973,0.5421916575885551,0.3464584951479818,32629.442408893374,16,6,100,1,1,1,1000,1000
45,407.9236815180202,0.41141128430293394,0.5780389398257644,0.3571511118606278,33007.95479090563,16,6,100,1,1,1,1000,1000
46,412.74800045207365,0.36395711817466037,0.5174396285746794,0.3388481018856296,31838.521177569186,16,6,100,1,1,1,1000,1000
47,-302.1860661159153,0.2634567912541247,0.3881589685490243,0.3014133004162558,29276.50109930659,16,6,100,1,1,1,1000,1000
48,436.4160313402975,0.130820402272803,0.24086322217583814,0.2610652102463757,25377.44737259241,16,6,100,1,1,1,1000,1000
49,443.14081064346374,0.06467021498221892,0.15343074808638535,0.23873711022801036,23513.132766133796,16,6,100,1,1,1,1000,1000
50,447.39812140221494,0.02284082065915649,0.09372683323449621,0.2240696986349083,22204.346308051852,16,6,100,1,1,1,1000,1000
51,449.29320360778905,0.0043663958784058154,0.05527852976435909,0.2148782746059848,21358.81376211921,16,6,100,1,1,1,1000,1000
52,449.46551281563313,0.0027227766412237786,0.04884904286164428,0.21336047738283384,21216.63624047575,16,6,100,1,1,1,1000,1000
53,437.94129847521396,0.004589732574688643,0.05613088000259765,0.2150799012126259,21377.64522193954,16,6,100,1,1,1,1000,1000
54,448.60825948595505,0.011016095785012614,0.07141829263416924,0.21871264290949077,21714.728352723374,16,6,100,1,1,1,1000,1000
55,447.59657036525635,0.020905429072911264,0.08976496160593057,0.22312176584661556,22141.260917653755,16,6,100,1,1,1,1000,1000
56,448.10291849340086,0.016632976568076385,0.025250489923632387,0.20853335986791294,22733.510329003013,16,6,100,1,1,1,1000,1000
57,449.64354532205635,0.0019563675120314317,0.0,0.16081792674047132,24520.61584645023,16,6,100,1,1,1,1000,1000
58,449.899566785307,0.0,0.0,0.10043321469298783,26215.44721291384,16,6,100,1,1,1,1000,1000
59,314.94607650598635,0.0,0.0,0.05487023512484601,26690.941601590795,16,6,100,1,1,1,1000,1000
60,449.96888366392835,0.0,0.0,0.031116336071634058,26462.139380094315,16,6,100,1,1,1,1000,1000
61,449.9738831715543,0.0,0.0,0.02611682844570201,26543.114650583164,16,6,100,1,1,1,1000,1000
62,449.97466369811127,0.0,0.0,0.025336301888732718,26179.667485718335,16,6,100,1,1,1,1000,1000
63,449.97448916471524,0.0,0.0,0.025510835284766744,25187.249566869075,16,6,100,1,1,1,1000,1000
64,449.96177590742434,0.0,0.0,0.03822409257567036,24629.83834672478,16,6,100,1,1,1,1000,1000
65,185.83203411517712,0.0,0.0,0.07121822157435659,24376.55520552574,16,6,100,1,1,1,1000,1000
66,449.8555706406456,0.0,0.0,0.14442935935436577,24838.867528548475,16,6,100,1,1,1,1000,1000
67,435.384665650235,0.14278284909892958,0.10747018358621034,0.22957925628583625,27637.22241111669,16,6,100,1,1,1,1000,1000
68,426.7669681011209,0.22697642311413946,0.2660643136004428,0.2693252738647446,29266.14370177866,16,6,100,1,1,1,1000,1000
69,425.015373621809,0.24394044602020315,0.3098684838930403,0.28071329227765796,29435.62690032904,16,6,100,1,1,1,1000,1000
70,426.81837106824986,0.22584569037122848,0.31535663934583424,0.28170325528148177,28592.919113433698,16,6,100,1,1,1,1000,1000
71,-10.440627487874906,0.1664314350821111,0.2688458210446498,0.26871276294835117,26600.55068051293,16,6,100,1,1,1,1000,1000
72,447.33402784014544,0.024862324367218913,0.0,0.1797397231327115,25085.559727583375,16,6,100,1,1,1,1000,1000
73,449.83414533321036,0.0,0.0,0.16585466678962826,23547.029427777135,16,6,100,1,1,1,1000,1000
74,449.839200425899,0.0,0.0,0.16079957410102147,22592.274414416806,16,6,100,1,1,1,1000,1000
75,449.8419128847925,0.0,0.0,0.15808711520748167,22201.52162314504,16,6,100,1,1,1,1000,1000
76,449.83622833588953,0.0,0.0,0.1637716641104779,21954.829499498766,16,6,100,1,1,1,1000,1000
77,403.48037281623436,0.0,0.0,0.18687330159172755,22205.287915109104,16,6,100,1,1,1,1000,1000
78,443.5328376489362,0.0612917917316137,0.10954982363454761,0.22843335426785277,23937.782218579097,16,6,100,1,1,1,1000,1000
79,433.2177073816181,0.16256251571904512,0.25968790191764557,0.2663531445597017,26547.82254967629,16,6,100,1,1,1,1000,1000
80,431.73464108564514,0.17810471265181704,0.20226093202885792,0.25262671714435087,27968.65619311989,16,6,100,1,1,1,1000,1000
81,446.38070039746384,0.03491901412673559,0.0,0.12739818986261697,29432.802178172795,16,6,100,1,1,1,1000,1000
82,449.9668477575146,0.0,0.0,0.03315224248538992,30105.085295111778,16,6,100,1,1,1,1000,1000
83,-19.532372937963885,0.0,0.0,0.04523804452597245,30281.159458319704,16,6,100,1,1,1,1000,1000
84,449.94263834336743,0.0,0.0,0.05736165663258806,30199.24261371333,16,6,100,1,1,1,1000,1000
85,449.9300598460019,0.0,0.0,0.06994015399810143,29958.199931474595,16,6,100,1,1,1,1000,1000
86,449.9242095820978,0.0,0.0,0.07579041790224962,28368.82475196919,16,6,100,1,1,1,1000,1000
87,449.927421408047,0.0,0.0,0.07257859195300763,27905.570815892792,16,6,100,1,1,1,1000,1000
88,449.94030122909646,0.0,0.0,0.05969877090355959,27769.984298058742,16,6,100,1,1,1,1000,1000
