number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,user_attrs_Model,state
29,545.7139342603281,2022-09-10 08:21:59.894586,2022-09-10 15:47:54.837730,0 days 07:25:54.943144,relu,8,0.1,0.98,0.9,1.1551552250805426e-05,2.0,1,128,small,PPO,COMPLETE
30,486.97187918796624,2022-09-10 14:03:31.498159,2022-09-10 21:32:58.521272,0 days 07:29:27.023113,leaky_relu,32,0.2,1.0,0.98,2.3522288470311026e-05,0.6,20,256,small,PPO,COMPLETE
31,571.5573179710934,2022-09-10 14:23:37.983427,2022-09-10 21:50:44.188048,0 days 07:27:06.204621,leaky_relu,128,0.3,1.0,0.9,2.3753220196413675e-05,0.8,20,256,small,PPO,COMPLETE
32,544.3410667147242,2022-09-10 15:21:26.601862,2022-09-10 23:57:12.632141,0 days 08:35:46.030279,leaky_relu,512,0.2,1.0,0.9,1.505091498683723e-05,0.6,20,256,small,PPO,COMPLETE
33,581.4551554428975,2022-09-10 15:34:25.505962,2022-09-11 01:02:45.465931,0 days 09:28:19.959969,tanh,16,0.1,0.9,0.98,0.0007195490781926072,5.0,10,128,small,PPO,COMPLETE
34,500.8182509731445,2022-09-10 15:47:54.902611,2022-09-10 23:26:21.144747,0 days 07:38:26.242136,tanh,128,0.2,0.95,0.9,2.4397578926475423e-05,0.6,20,256,big,PPO,COMPLETE
35,577.9615250544284,2022-09-10 21:32:58.573602,2022-09-11 05:19:26.363293,0 days 07:46:27.789691,tanh,32,0.2,0.9,0.9,9.617180086686497e-05,0.5,20,128,small,PPO,COMPLETE
36,441.5000465843785,2022-09-10 21:50:44.242386,2022-09-11 05:38:27.717062,0 days 07:47:43.474676,leaky_relu,128,0.2,0.98,0.99,0.0006015211456262637,0.6,20,256,big,PPO,COMPLETE
37,582.2735598629921,2022-09-10 23:26:21.201120,2022-09-11 07:07:19.732457,0 days 07:40:58.531337,tanh,64,0.1,0.9,0.9,0.00011569952814081352,5.0,20,128,medium,PPO,COMPLETE
38,580.1324491741325,2022-09-10 23:57:12.684265,2022-09-11 08:46:26.513740,0 days 08:49:13.829475,tanh,128,0.1,0.9,0.9,0.0017708392116383678,0.8,20,128,small,PPO,COMPLETE
