number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_cg_max_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_critic_updates,params_n_steps,params_net_arch,user_attrs_Model,state
132,590.0295831478833,2022-09-13 15:09:14.538897,2022-09-13 21:08:20.874873,0 days 05:59:06.335976,tanh,128,5,0.92,0.98,0.268797363603374,0.7,20,256,small,TRPO,COMPLETE
133,590.0902766929856,2022-09-13 16:19:13.692749,2022-09-13 22:35:58.418812,0 days 06:16:44.726063,tanh,16,5,0.95,0.999,0.17752713168679835,0.7,10,256,small,TRPO,COMPLETE
134,295.47320283445987,2022-09-13 17:32:31.977052,2022-09-13 23:38:47.709215,0 days 06:06:15.732163,tanh,128,20,1.0,0.999,0.28494893445331887,0.7,20,256,small,TRPO,COMPLETE
135,572.0983473904319,2022-09-13 18:15:03.544758,2022-09-14 00:58:14.650391,0 days 06:43:11.105633,tanh,32,5,0.98,0.99,0.768967547346434,0.8,30,32,small,TRPO,COMPLETE
136,570.6685870264027,2022-09-13 18:16:35.346806,2022-09-14 00:13:51.937011,0 days 05:57:16.590205,tanh,128,5,0.95,0.999,0.09209312132132624,0.3,10,256,small,TRPO,COMPLETE
137,590.9813413482941,2022-09-13 18:31:00.597748,2022-09-14 00:52:10.617982,0 days 06:21:10.020234,tanh,128,5,0.92,0.99,0.608466977876358,0.5,20,256,medium,TRPO,COMPLETE
138,591.7430814522188,2022-09-13 18:46:28.724686,2022-09-14 01:14:17.362271,0 days 06:27:48.637585,tanh,32,10,0.98,0.99,0.8003169590324488,0.8,25,256,small,TRPO,COMPLETE
139,590.4017565031811,2022-09-13 20:29:32.157073,2022-09-14 02:46:30.763717,0 days 06:16:58.606644,tanh,16,5,0.95,0.999,0.18501076665437075,0.7,10,256,small,TRPO,COMPLETE
140,586.6065536646236,2022-09-13 21:08:20.946604,2022-09-14 04:23:13.347088,0 days 07:14:52.400484,tanh,32,5,0.98,0.99,0.09139506994006423,0.8,30,256,medium,TRPO,COMPLETE
141,337.27300130906576,2022-09-13 22:35:58.470319,2022-09-14 04:39:00.943087,0 days 06:03:02.472768,relu,16,5,0.9,0.999,0.08333812616671737,0.6,5,256,small,TRPO,COMPLETE
142,585.8370608773787,2022-09-13 23:38:47.764098,2022-09-14 06:47:22.940196,0 days 07:08:35.176098,tanh,32,5,0.98,0.99,0.017577676117040503,0.8,30,256,medium,TRPO,COMPLETE
143,587.810843659644,2022-09-14 00:13:51.988933,2022-09-14 06:17:30.776925,0 days 06:03:38.787992,tanh,32,10,0.98,0.99,0.11508731261538037,0.8,10,256,small,TRPO,COMPLETE
144,594.789434557888,2022-09-14 00:52:10.670547,2022-09-14 07:21:23.808743,0 days 06:29:13.138196,tanh,32,5,0.95,0.99,0.10284709898693409,0.8,30,256,small,TRPO,COMPLETE
145,517.2323237663068,2022-09-14 00:58:14.703375,2022-09-14 07:04:49.385895,0 days 06:06:34.682520,relu,256,5,0.95,0.99,0.8864383571303017,0.5,20,256,medium,TRPO,COMPLETE
146,580.5271534144467,2022-09-14 01:14:17.412359,2022-09-14 07:32:59.618593,0 days 06:18:42.206234,tanh,32,10,0.8,0.99,0.0387848334376925,0.8,25,256,small,TRPO,COMPLETE
147,587.5874579091235,2022-09-14 02:46:30.820396,2022-09-14 09:14:38.913685,0 days 06:28:08.093289,tanh,128,5,0.92,0.995,0.9435851085214295,0.5,20,512,big,TRPO,COMPLETE
148,592.5565929031334,2022-09-14 04:23:13.401901,2022-09-14 10:28:39.696866,0 days 06:05:26.294965,tanh,128,5,0.92,0.99,0.5034278608242084,0.5,20,256,medium,TRPO,COMPLETE
149,370.91882876339116,2022-09-14 04:39:01.000019,2022-09-14 10:55:10.345619,0 days 06:16:09.345600,tanh,128,5,1.0,0.99,0.20290794255500666,0.5,20,2048,medium,TRPO,COMPLETE
150,592.3562208761962,2022-09-14 06:17:30.826887,2022-09-14 12:32:42.848969,0 days 06:15:12.022082,tanh,128,5,0.92,0.99,0.4088839905130058,0.5,20,256,medium,TRPO,COMPLETE
151,588.8448988912174,2022-09-14 06:47:22.997625,2022-09-14 13:03:47.351393,0 days 06:16:24.353768,tanh,32,10,0.9,0.99,0.45529793362776433,2.0,25,256,small,TRPO,COMPLETE
152,592.4824571745102,2022-09-14 07:04:49.434424,2022-09-14 13:11:59.004076,0 days 06:07:09.569652,tanh,128,5,0.92,0.99,0.7657259660621639,0.5,20,256,medium,TRPO,COMPLETE
153,592.4107858417792,2022-09-14 07:21:23.864990,2022-09-14 17:44:38.233872,0 days 10:23:14.368882,tanh,8,5,0.92,0.99,0.197476583857159,0.5,20,256,medium,TRPO,COMPLETE
154,563.3555194489658,2022-09-14 07:32:59.675827,2022-09-14 14:09:13.297024,0 days 06:36:13.621197,tanh,32,10,0.98,0.99,0.8479745804489823,2.0,25,32,small,TRPO,COMPLETE
155,583.8387368102559,2022-09-14 09:14:38.964869,2022-09-14 18:14:59.172339,0 days 09:00:20.207470,tanh,16,5,0.92,0.999,0.14512047314643972,0.9,20,256,big,TRPO,COMPLETE
156,592.1854057961555,2022-09-14 10:28:39.752266,2022-09-14 16:37:20.625588,0 days 06:08:40.873322,tanh,128,10,0.92,0.99,0.9093983339950384,0.6,20,256,medium,TRPO,COMPLETE
157,589.8492751149499,2022-09-14 10:55:10.401691,2022-09-14 17:24:09.817736,0 days 06:28:59.416045,tanh,128,30,0.92,0.99,0.2280183619831278,0.5,20,256,medium,TRPO,COMPLETE
158,577.1534244583856,2022-09-14 12:32:42.900208,2022-09-14 18:44:44.135093,0 days 06:12:01.234885,tanh,128,5,0.99,0.99,0.03140757733842529,0.9,20,256,medium,TRPO,COMPLETE
159,589.5576665730074,2022-09-14 13:03:47.407607,2022-09-14 19:08:10.847762,0 days 06:04:23.440155,tanh,128,5,0.92,0.99,0.3360396347722583,0.3,20,256,medium,TRPO,COMPLETE
160,590.5876990544623,2022-09-14 13:11:59.055698,2022-09-14 19:15:41.459328,0 days 06:03:42.403630,tanh,128,5,0.92,0.99,0.8296603541977428,0.5,20,256,medium,TRPO,COMPLETE
161,590.9368762965762,2022-09-14 14:09:13.346563,2022-09-14 20:14:36.781181,0 days 06:05:23.434618,tanh,128,5,0.92,0.99,0.1648256966494829,5.0,20,256,medium,TRPO,COMPLETE
162,,2022-09-14 16:37:20.675907,,,tanh,32,10,0.98,0.9,0.7460569301808214,1.0,25,256,small,TRPO,RUNNING
163,,2022-09-14 17:24:09.867737,,,tanh,32,5,0.95,0.99,0.11914184286991787,1.0,30,256,small,TRPO,RUNNING
164,,2022-09-14 17:44:38.293142,,,tanh,128,10,0.92,0.99,0.4055398002433125,0.6,25,256,medium,TRPO,RUNNING
165,,2022-09-14 18:14:59.225766,,,tanh,128,10,0.92,0.99,0.3279535518837899,0.6,20,256,medium,TRPO,RUNNING
166,,2022-09-14 18:44:44.194233,,,tanh,8,5,0.99,0.9,0.045099317311646465,0.8,20,256,medium,TRPO,RUNNING
167,,2022-09-14 19:08:10.899292,,,tanh,128,25,0.92,0.9999,0.16389168888777025,0.6,5,256,medium,TRPO,RUNNING
168,,2022-09-14 19:15:41.514476,,,tanh,64,10,0.92,0.99,0.7683030068621755,0.6,20,256,medium,TRPO,RUNNING
169,,2022-09-14 20:14:36.833735,,,elu,32,5,0.98,0.99,0.062183572937865667,0.5,30,256,small,TRPO,RUNNING
