number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_cg_max_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_critic_updates,params_n_steps,params_net_arch,user_attrs_Model,state
30,575.0385959947582,2022-09-10 03:01:04.588101,2022-09-10 09:46:31.897395,0 days 06:45:27.309294,tanh,16,10,0.95,0.98,0.0020277366752353334,2.0,20,128,small,TRPO,COMPLETE
31,584.524772462016,2022-09-10 03:45:33.314690,2022-09-10 10:06:55.317588,0 days 06:21:22.002898,relu,128,5,0.98,0.95,0.1203192766723701,0.6,20,1024,big,TRPO,COMPLETE
32,546.1052706631025,2022-09-10 04:10:50.060661,2022-09-10 10:16:17.012704,0 days 06:05:26.952043,tanh,512,10,0.95,0.995,0.03276496479160485,0.5,20,128,small,TRPO,COMPLETE
33,587.0588758257627,2022-09-10 04:28:55.411718,2022-09-10 11:06:08.722330,0 days 06:37:13.310612,relu,128,5,0.98,0.9,0.15705735391185724,0.9,20,1024,big,TRPO,COMPLETE
34,587.934459339612,2022-09-10 05:08:09.756118,2022-09-10 12:02:16.250092,0 days 06:54:06.493974,elu,128,5,0.98,0.9,0.04819121748069327,1.0,20,1024,big,TRPO,COMPLETE
35,500.2191648046088,2022-09-10 05:21:54.910275,2022-09-10 13:36:09.387732,0 days 08:14:14.477457,elu,128,5,0.98,0.9,0.006030613623606589,0.5,20,32,big,TRPO,COMPLETE
36,590.4830457406215,2022-09-10 05:38:11.630805,2022-09-10 12:30:05.024457,0 days 06:51:53.393652,tanh,16,5,0.9,0.999,0.7541554725520146,0.8,20,256,small,TRPO,COMPLETE
37,577.8819457050373,2022-09-10 06:20:33.414357,2022-09-10 12:28:37.711757,0 days 06:08:04.297400,tanh,128,5,0.98,0.9,0.012509047658210416,0.9,5,1024,big,TRPO,COMPLETE
38,510.4522013389102,2022-09-10 09:46:31.963192,2022-09-10 16:17:05.103003,0 days 06:30:33.139811,relu,128,20,0.98,0.9,0.06033615950915507,0.6,20,1024,big,TRPO,COMPLETE
39,309.0338906090756,2022-09-10 10:06:55.369022,2022-09-10 19:21:50.364091,0 days 09:14:54.995069,relu,128,5,0.95,0.95,0.0030130175183160396,0.6,20,16,big,TRPO,COMPLETE
40,550.6397215247406,2022-09-10 10:16:17.062476,2022-09-10 16:34:42.345269,0 days 06:18:25.282793,relu,128,5,0.98,0.98,0.02720126789597431,0.6,20,1024,big,TRPO,COMPLETE
41,502.4185945734313,2022-09-10 11:06:08.771130,2022-09-10 17:41:09.670747,0 days 06:35:00.899617,tanh,16,20,0.95,0.9999,0.2676083746340862,0.8,20,2048,small,TRPO,COMPLETE
42,584.7951505537828,2022-09-10 12:02:16.302538,2022-09-10 18:28:29.255023,0 days 06:26:12.952485,tanh,16,5,0.95,0.9,0.16934682039600488,0.8,10,512,small,TRPO,COMPLETE
43,579.521046281975,2022-09-10 12:28:37.760705,2022-09-10 18:39:10.735528,0 days 06:10:32.974823,tanh,512,20,0.95,0.9,0.18228661594658002,0.8,10,128,small,TRPO,COMPLETE
44,582.0016117964578,2022-09-10 12:30:05.085563,2022-09-10 21:57:00.867875,0 days 09:26:55.782312,tanh,16,30,0.9,0.999,0.4861565177327025,0.8,20,256,big,TRPO,COMPLETE
45,361.85489532652645,2022-09-10 13:36:09.439521,2022-09-10 23:07:01.647326,0 days 09:30:52.207805,tanh,256,5,0.95,0.9,0.3554228367127821,0.8,30,8,small,TRPO,COMPLETE
46,576.1018891257487,2022-09-10 16:17:05.323221,2022-09-10 23:13:17.306207,0 days 06:56:11.982986,tanh,16,5,1.0,0.9,0.4308318157084848,0.5,20,64,small,TRPO,COMPLETE
47,590.1935466793482,2022-09-10 16:34:42.394634,2022-09-10 23:07:41.159997,0 days 06:32:58.765363,tanh,16,5,0.9,0.98,0.11757672022022837,0.8,20,256,small,TRPO,COMPLETE
48,584.7335972665876,2022-09-10 17:41:09.722930,2022-09-10 23:56:44.282688,0 days 06:15:34.559758,tanh,16,5,0.9,0.9,0.011185845321842549,0.8,10,256,small,TRPO,COMPLETE
49,588.0404558194244,2022-09-10 18:28:29.308478,2022-09-11 02:09:15.265353,0 days 07:40:45.956875,elu,8,5,0.92,0.999,0.47207698139745397,0.8,20,256,small,TRPO,COMPLETE
50,591.840391437727,2022-09-10 18:39:10.794332,2022-09-11 01:27:08.670897,0 days 06:47:57.876565,tanh,16,5,0.92,0.999,0.31747663549944255,0.7,20,256,small,TRPO,COMPLETE
51,477.86291448664997,2022-09-10 19:21:50.420029,2022-09-11 03:19:24.125395,0 days 07:57:33.705366,elu,128,30,0.99,0.9,0.08094081075455663,1.0,20,1024,big,TRPO,COMPLETE
52,476.54917168886607,2022-09-10 21:57:00.915772,2022-09-11 07:17:37.742126,0 days 09:20:36.826354,elu,16,25,0.99,0.9,0.09483586799632109,1.0,20,1024,big,TRPO,COMPLETE
53,480.8669104664468,2022-09-10 23:07:01.706817,2022-09-11 05:10:38.724928,0 days 06:03:37.018111,tanh,512,5,0.98,0.999,0.2236148466709606,2.0,20,256,small,TRPO,COMPLETE
