number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_policy_delay,params_tau,params_train_freq,user_attrs_Model,state
30,264.9205538595332,2022-09-10 18:52:09.936788,2022-09-11 02:51:09.934587,0 days 07:58:59.997799,relu,64,10000,0.95,2.0529060862196335e-05,small,3,0.02,4,TD3,COMPLETE
31,415.16743716806485,2022-09-10 22:17:38.889001,2022-09-11 07:29:26.962601,0 days 09:11:48.073600,elu,256,1000000,0.9,0.00027819400206299756,small,3,0.02,32,TD3,COMPLETE
32,101.88345962767896,2022-09-10 23:05:38.333632,2022-09-11 11:23:32.987215,0 days 12:17:54.653583,tanh,64,1000000,0.9,0.0008687361731714414,big,3,0.005,32,TD3,COMPLETE
33,353.3554360815478,2022-09-11 00:25:56.490003,2022-09-11 10:20:17.695158,0 days 09:54:21.205155,tanh,32,1000000,0.9,0.0003281601722939745,big,3,0.02,32,TD3,COMPLETE
34,133.37987794805997,2022-09-11 02:35:16.569599,2022-09-11 15:21:48.277415,0 days 12:46:31.707816,tanh,64,1000000,0.9,0.0016123275580949125,big,3,0.05,8,TD3,COMPLETE
35,297.5492831796411,2022-09-11 02:51:09.985746,2022-09-11 20:06:49.717660,0 days 17:15:39.731914,tanh,256,10000,0.995,0.0007131252174597854,big,3,0.005,256,TD3,COMPLETE
36,397.5112503011801,2022-09-11 03:28:11.613479,2022-09-12 15:24:55.151238,1 days 11:56:43.537759,relu,1024,10000,0.99,2.295653752230801e-05,big,2,0.005,16,TD3,COMPLETE
37,360.29698078122334,2022-09-11 07:29:27.013305,2022-09-11 14:54:51.044656,0 days 07:25:24.031351,relu,64,1000000,0.99,0.00014770263256857753,small,3,0.001,16,TD3,COMPLETE
38,381.2716673607136,2022-09-11 10:20:17.743890,2022-09-11 19:34:51.239293,0 days 09:14:33.495403,elu,256,10000,0.9,0.0002696899592482714,small,3,0.02,32,TD3,COMPLETE
39,234.0553175903571,2022-09-11 11:23:33.039475,2022-09-12 00:18:27.087181,0 days 12:54:54.047706,elu,512,1000000,0.9,0.0014025977706042137,small,3,0.02,128,TD3,COMPLETE
40,421.1450245052688,2022-09-11 14:54:51.097714,2022-09-12 04:53:40.135828,0 days 13:58:49.038114,relu,2048,1000000,0.9,0.00013953825007651294,small,3,0.02,32,TD3,COMPLETE
41,440.75034160561364,2022-09-11 15:21:48.335801,2022-09-12 01:02:27.448304,0 days 09:40:39.112503,elu,256,1000000,0.9,5.365325182548824e-05,small,3,0.02,8,TD3,COMPLETE
42,472.8997280706073,2022-09-11 16:46:23.899941,2022-09-12 02:29:48.980029,0 days 09:43:25.080088,elu,256,1000000,0.9,7.08086515370668e-05,small,3,0.001,4,TD3,COMPLETE
43,262.33623047261136,2022-09-11 19:34:51.304574,2022-09-12 05:07:30.844538,0 days 09:32:39.539964,elu,256,10000,0.995,0.001111721046751038,small,3,0.02,32,TD3,COMPLETE
44,266.4328155167471,2022-09-11 20:06:49.774699,2022-09-12 07:02:29.139032,0 days 10:55:39.364333,elu,256,1000000,0.99,0.00112723016209511,small,2,0.02,32,TD3,COMPLETE
45,461.48187100314254,2022-09-12 00:18:27.142561,2022-09-12 09:57:58.235887,0 days 09:39:31.093326,elu,256,1000000,0.9,8.351383131090092e-05,small,3,0.02,32,TD3,COMPLETE
46,401.6489741413957,2022-09-12 00:32:53.125904,2022-09-12 10:39:14.457645,0 days 10:06:21.331741,elu,256,1000000,0.99,0.0004295277218212626,small,3,0.02,4,TD3,COMPLETE
47,276.33354729246486,2022-09-12 01:02:27.501611,2022-09-12 11:15:02.451763,0 days 10:12:34.950152,elu,256,10000,0.9,0.00023150902909292351,small,3,0.08,8,TD3,COMPLETE
48,353.34574490975257,2022-09-12 02:29:49.035969,2022-09-12 12:17:52.595341,0 days 09:48:03.559372,elu,256,1000000,0.9,4.385194525700472e-05,small,3,0.02,32,TD3,COMPLETE
