number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_tau,params_train_freq,user_attrs_Model,state
31,144.56194457924494,2022-09-10 22:43:33.930224,2022-09-11 07:15:08.900944,0 days 08:31:34.970720,relu,100,1000000,0.95,0.005740115221929528,small,0.08,256,DDPG,COMPLETE
32,-9.28324357815851,2022-09-11 02:02:45.890621,2022-09-12 16:16:10.614209,1 days 14:13:24.723588,relu,1024,1000000,0.9999,0.002952808767400993,big,0.005,256,DDPG,COMPLETE
33,321.0812109167863,2022-09-11 02:16:37.992566,2022-09-11 15:26:07.517525,0 days 13:09:29.524959,leaky_relu,128,1000000,0.9999,4.820741840612005e-05,big,0.01,256,DDPG,COMPLETE
34,350.9718947680383,2022-09-11 05:03:40.817844,2022-09-11 19:39:57.708455,0 days 14:36:16.890611,tanh,128,1000000,0.98,0.001575112128441376,big,0.005,8,DDPG,COMPLETE
35,-82.61916813908573,2022-09-11 05:06:45.512532,2022-09-11 20:08:39.525067,0 days 15:01:54.012535,relu,128,1000000,0.9999,0.008956730005132663,big,0.005,256,DDPG,COMPLETE
36,295.64565643169993,2022-09-11 07:15:08.952130,2022-09-11 17:13:09.675885,0 days 09:58:00.723755,relu,16,1000000,0.999,0.0005626987847514274,medium,0.005,256,DDPG,COMPLETE
37,288.43568180591376,2022-09-11 10:55:12.756260,2022-09-12 00:36:09.519715,0 days 13:40:56.763455,leaky_relu,128,100000,0.9999,1.4031858536590304e-05,big,0.001,4,DDPG,COMPLETE
38,300.59861709426156,2022-09-11 11:19:53.700785,2022-09-11 23:12:30.198707,0 days 11:52:36.497922,tanh,100,1000000,0.995,1.5709077251392605e-05,big,0.001,4,DDPG,COMPLETE
39,306.09540850862413,2022-09-11 15:26:07.570116,2022-09-12 03:39:13.475614,0 days 12:13:05.905498,relu,64,1000000,0.9999,1.7923354185706156e-05,big,0.001,4,DDPG,COMPLETE
40,-154.3362892949513,2022-09-11 17:13:09.729401,2022-09-12 06:59:09.571124,0 days 13:45:59.841723,leaky_relu,128,1000000,0.999,0.002444501740187941,big,0.01,256,DDPG,COMPLETE
41,146.63585055432026,2022-09-11 19:39:57.763545,2022-09-12 09:55:41.265804,0 days 14:15:43.502259,tanh,128,1000000,0.98,0.0008535736502111541,big,0.02,8,DDPG,COMPLETE
42,-26.357518238993077,2022-09-11 20:08:39.578784,2022-09-12 09:30:56.772250,0 days 13:22:17.193466,tanh,64,1000000,0.98,0.0282917923214629,big,0.005,8,DDPG,COMPLETE
43,317.38242503123706,2022-09-11 23:12:30.249743,2022-09-12 22:46:01.962263,0 days 23:33:31.712520,leaky_relu,512,1000000,0.9999,2.7052591145258925e-05,big,0.01,32,DDPG,COMPLETE
44,-121.19416232208546,2022-09-12 00:36:09.575601,2022-09-12 15:42:54.794914,0 days 15:06:45.219313,tanh,128,1000000,0.999,0.00582796470180532,big,0.005,8,DDPG,COMPLETE
45,245.49291069612133,2022-09-12 03:39:13.527265,2022-09-13 02:19:13.052661,0 days 22:39:59.525396,leaky_relu,512,1000000,0.9999,0.00014245362100847813,big,0.02,256,DDPG,COMPLETE
46,266.71377008287755,2022-09-12 06:59:09.624524,2022-09-14 22:44:22.664350,2 days 15:45:13.039826,tanh,2048,1000000,0.98,0.0009175689983810004,big,0.02,8,DDPG,COMPLETE
47,128.6915134448553,2022-09-12 09:30:56.824866,2022-09-13 00:16:02.231051,0 days 14:45:05.406185,tanh,128,1000000,0.9,0.0013444333344478814,big,0.005,8,DDPG,COMPLETE
48,255.1107101125477,2022-09-12 09:55:41.316911,2022-09-13 09:16:37.789366,0 days 23:20:56.472455,leaky_relu,512,1000000,0.9999,0.00027185735738187,big,0.01,8,DDPG,COMPLETE
49,194.51627518941842,2022-09-12 15:42:54.850790,2022-09-13 03:15:12.343816,0 days 11:32:17.493026,leaky_relu,128,1000000,0.9999,3.734720534247867e-05,medium,0.01,256,DDPG,COMPLETE
50,219.32055986363935,2022-09-12 16:16:10.681247,2022-09-13 16:08:07.468632,0 days 23:51:56.787385,leaky_relu,512,1000000,0.9999,3.971392926276015e-05,big,0.01,256,DDPG,COMPLETE
51,211.12961927382972,2022-09-12 22:46:02.016529,2022-09-13 22:19:48.546141,0 days 23:33:46.529612,leaky_relu,512,1000000,0.9999,1.2789723544296167e-05,big,0.01,512,DDPG,COMPLETE
52,433.5518080482608,2022-09-13 00:16:02.282551,2022-09-13 17:38:26.954368,0 days 17:22:24.671817,leaky_relu,512,1000000,0.98,4.058584550773717e-05,medium,0.01,32,DDPG,COMPLETE
53,259.4649686009562,2022-09-13 02:19:13.110562,2022-09-14 01:41:22.368755,0 days 23:22:09.258193,leaky_relu,512,1000000,0.9,1.2683309899227887e-05,big,0.01,8,DDPG,COMPLETE
54,367.8204108711244,2022-09-13 03:15:12.399389,2022-09-14 05:04:26.301001,1 days 01:49:13.901612,elu,512,1000000,0.9999,4.1333491101238586e-05,medium,0.001,32,DDPG,COMPLETE
55,477.51964711496896,2022-09-13 09:16:37.843192,2022-09-13 17:32:28.384307,0 days 08:15:50.541115,leaky_relu,100,1000000,0.95,0.00015252570452720972,small,0.01,32,DDPG,COMPLETE
56,493.80945928689454,2022-09-13 14:01:09.612491,2022-09-15 01:24:43.370938,1 days 11:23:33.758447,leaky_relu,1024,1000000,0.9,9.784285997505853e-05,big,0.01,4,DDPG,COMPLETE
57,269.83827206158696,2022-09-13 16:08:07.525285,2022-09-14 06:28:04.077251,0 days 14:19:56.551966,relu,128,1000000,0.999,1.1683015679685748e-05,big,0.001,128,DDPG,COMPLETE
58,229.59284071883152,2022-09-13 17:32:28.432744,2022-09-14 01:55:46.341854,0 days 08:23:17.909110,leaky_relu,100,100000,0.95,0.002793137408542731,small,0.01,32,DDPG,COMPLETE
59,270.5990649161043,2022-09-13 17:38:27.008394,2022-09-14 10:46:12.549626,0 days 17:07:45.541232,tanh,512,1000000,0.98,6.462418514752388e-05,medium,0.01,32,DDPG,COMPLETE
60,147.31085459608738,2022-09-13 22:19:48.604298,2022-09-14 07:55:12.006701,0 days 09:35:23.402403,leaky_relu,16,1000000,0.98,0.00043421719049323906,medium,0.01,32,DDPG,COMPLETE
61,365.15285375038053,2022-09-14 01:41:22.422419,2022-09-14 19:08:03.399804,0 days 17:26:40.977385,leaky_relu,512,100000,0.98,3.775850216848157e-05,medium,0.005,32,DDPG,COMPLETE
62,364.9436057707784,2022-09-14 01:55:46.394939,2022-09-14 18:57:15.247975,0 days 17:01:28.853036,leaky_relu,512,1000000,0.98,0.0002022393426647944,medium,0.02,32,DDPG,COMPLETE
63,,2022-09-14 05:04:26.362589,,,elu,512,1000000,0.9999,0.0005831188245903566,medium,0.001,8,DDPG,RUNNING
64,209.2708728193536,2022-09-14 06:28:04.134369,2022-09-14 18:32:17.163678,0 days 12:04:13.029309,elu,64,1000000,0.9999,0.00022375895244271094,medium,0.001,32,DDPG,COMPLETE
65,202.0961168982484,2022-09-14 07:55:12.057497,2022-09-14 16:20:27.733049,0 days 08:25:15.675552,leaky_relu,100,1000000,0.95,1.8557349307268523e-05,small,0.01,16,DDPG,COMPLETE
66,,2022-09-14 10:46:12.604057,,,elu,512,1000000,0.9999,4.0470432658125124e-05,medium,0.001,32,DDPG,RUNNING
67,,2022-09-14 16:20:27.782311,,,tanh,128,100000,0.98,0.001895547948931137,big,0.005,16,DDPG,RUNNING
68,,2022-09-14 18:32:17.213318,,,leaky_relu,512,1000000,0.98,0.0006664934661539264,small,0.01,64,DDPG,RUNNING
69,,2022-09-14 18:57:15.301125,,,leaky_relu,1024,1000000,0.999,0.0001908619225308191,medium,0.02,32,DDPG,RUNNING
70,,2022-09-14 19:08:03.457750,,,leaky_relu,512,100000,0.98,0.0008419153447311512,medium,0.005,32,DDPG,RUNNING
71,,2022-09-14 22:44:22.723739,,,leaky_relu,32,100000,0.98,1.912118553516269e-05,medium,0.005,256,DDPG,RUNNING
72,,2022-09-15 01:24:43.421401,,,leaky_relu,1024,1000000,0.9,1.796021156580574e-05,big,0.001,512,DDPG,RUNNING
