number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_net_arch,user_attrs_Model,state
139,-82.21031669705698,2022-09-14 10:11:22.103402,2022-09-14 17:41:13.825728,0 days 07:29:51.722326,tanh,0.95,0.9,0.0048446205414298445,1.0,16,big,A2C,COMPLETE
140,512.2439641104047,2022-09-14 12:14:05.603308,2022-09-14 19:49:39.435779,0 days 07:35:33.832471,tanh,0.8,0.9999,0.00016107241777005472,2.0,1024,big,A2C,COMPLETE
141,456.16153641202817,2022-09-14 13:09:19.310702,2022-09-14 21:15:34.591393,0 days 08:06:15.280691,tanh,0.8,0.9999,0.00012510753484901654,0.5,1024,big,A2C,COMPLETE
142,533.1969340615589,2022-09-14 14:14:54.426681,2022-09-14 21:14:14.741954,0 days 06:59:20.315273,tanh,0.8,0.9999,0.00022252139432469293,2.0,1024,big,A2C,COMPLETE
143,,2022-09-14 16:36:33.437733,,,tanh,0.92,0.95,0.0005880807360430946,0.6,64,big,A2C,RUNNING
144,,2022-09-14 17:41:13.891075,,,tanh,0.8,0.9,7.332759905630955e-05,2.0,1024,big,A2C,RUNNING
145,,2022-09-14 17:45:54.742927,,,tanh,0.8,0.9999,0.0001629047936780961,2.0,1024,big,A2C,RUNNING
146,,2022-09-14 17:56:03.781088,,,tanh,0.92,0.95,0.00018146396861127155,0.3,8,small,A2C,RUNNING
147,,2022-09-14 17:58:08.763965,,,relu,0.8,0.9999,0.0035172676214774647,2.0,256,big,A2C,RUNNING
148,,2022-09-14 19:49:39.491604,,,elu,0.99,0.9999,0.0006016937926413735,2.0,256,big,A2C,RUNNING
149,,2022-09-14 21:14:14.801243,,,tanh,0.98,0.9999,0.001226445258250907,2.0,256,big,A2C,RUNNING
150,,2022-09-14 21:15:34.670387,,,tanh,0.8,0.9999,2.8040933338671323e-05,2.0,64,big,A2C,RUNNING
