number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_net_arch,user_attrs_Model,state
31,100.62537512325983,2022-09-10 02:37:07.696033,2022-09-10 11:06:23.521798,0 days 08:29:15.825765,leaky_relu,0.92,0.999,0.0002446181767020187,0.3,1024,medium,A2C,COMPLETE
32,317.69871131307053,2022-09-10 04:28:42.041808,2022-09-10 11:45:48.074278,0 days 07:17:06.032470,tanh,0.9,0.9,1.029742353720465e-05,0.9,8,medium,A2C,COMPLETE
33,233.54246935521078,2022-09-10 04:52:36.378636,2022-09-10 12:13:11.297216,0 days 07:20:34.918580,tanh,0.99,0.9,3.891337875394357e-05,0.6,512,medium,A2C,COMPLETE
34,324.7002538478005,2022-09-10 05:59:09.082032,2022-09-10 12:36:34.844615,0 days 06:37:25.762583,leaky_relu,0.9,0.99,6.137559073314614e-05,0.9,256,medium,A2C,COMPLETE
35,180.03478773268802,2022-09-10 06:30:30.781371,2022-09-10 14:18:22.406547,0 days 07:47:51.625176,tanh,0.99,0.99,1.579698919846374e-05,0.7,2048,medium,A2C,COMPLETE
36,243.45429387013968,2022-09-10 08:03:34.831135,2022-09-10 14:47:44.537572,0 days 06:44:09.706437,relu,0.92,0.95,0.0001158520839891908,0.3,32,medium,A2C,COMPLETE
37,197.49055648924866,2022-09-10 08:18:42.492027,2022-09-10 16:19:55.374597,0 days 08:01:12.882570,tanh,0.92,0.95,4.602797696127519e-05,0.8,512,small,A2C,COMPLETE
38,259.4309482506768,2022-09-10 08:59:03.770881,2022-09-10 17:19:32.144435,0 days 08:20:28.373554,leaky_relu,0.92,0.9999,0.00010611178904835614,0.3,1024,big,A2C,COMPLETE
39,464.9788033149547,2022-09-10 11:06:23.576872,2022-09-10 19:36:35.460607,0 days 08:30:11.883735,elu,0.92,0.98,1.7235205660075382e-05,2.0,32,medium,A2C,COMPLETE
40,472.9564499151111,2022-09-10 11:45:48.132152,2022-09-10 18:32:27.370533,0 days 06:46:39.238381,leaky_relu,0.8,0.99,1.8834288197999604e-05,2.0,1024,medium,A2C,COMPLETE
41,198.04492626902513,2022-09-10 12:13:11.358972,2022-09-10 18:58:11.659967,0 days 06:45:00.300995,leaky_relu,0.9,0.98,0.00016705033728555685,2.0,1024,medium,A2C,COMPLETE
42,365.3254394191075,2022-09-10 12:36:34.897920,2022-09-10 19:18:41.428084,0 days 06:42:06.530164,relu,0.9,0.98,6.41752426945031e-05,2.0,1024,medium,A2C,COMPLETE
43,80.27757424481891,2022-09-10 14:18:22.462834,2022-09-10 21:45:01.642723,0 days 07:26:39.179889,leaky_relu,0.92,0.99,0.00018704495465534946,2.0,64,medium,A2C,COMPLETE
44,356.5227898110161,2022-09-10 14:47:44.589958,2022-09-10 21:34:18.134815,0 days 06:46:33.544857,elu,0.99,0.98,2.786047274266535e-05,2.0,1024,big,A2C,COMPLETE
45,85.8692758015483,2022-09-10 16:19:55.454531,2022-09-11 00:05:05.166954,0 days 07:45:09.712423,relu,0.92,0.98,0.0002195362471292754,2.0,1024,medium,A2C,COMPLETE
46,402.02137777605856,2022-09-10 17:19:32.196383,2022-09-11 01:04:14.844784,0 days 07:44:42.648401,leaky_relu,0.92,0.98,1.4372204271373365e-05,0.5,16,medium,A2C,COMPLETE
47,269.75763484260335,2022-09-10 18:32:27.424611,2022-09-11 01:41:22.775736,0 days 07:08:55.351125,tanh,0.9,0.99,1.2641436235077707e-05,1.0,16,medium,A2C,COMPLETE
48,477.5848246000486,2022-09-10 18:58:11.713923,2022-09-11 02:04:53.092998,0 days 07:06:41.379075,elu,0.8,0.99,1.2975910554734714e-05,2.0,1024,medium,A2C,COMPLETE
49,245.07275184919263,2022-09-10 19:18:41.481484,2022-09-11 03:11:22.397223,0 days 07:52:40.915739,tanh,0.8,0.99,3.166978477962581e-05,2.0,1024,medium,A2C,COMPLETE
50,466.7298902884774,2022-09-10 19:36:35.530001,2022-09-11 02:30:59.240680,0 days 06:54:23.710679,elu,0.92,0.98,2.7239321915370674e-05,0.6,32,small,A2C,COMPLETE
51,449.5043004529654,2022-09-10 21:34:18.186457,2022-09-11 04:28:44.079706,0 days 06:54:25.893249,elu,0.8,0.99,2.4394606724683312e-05,2.0,1024,medium,A2C,COMPLETE
52,402.50994926011015,2022-09-10 21:45:01.709029,2022-09-11 06:01:31.085440,0 days 08:16:29.376411,elu,0.95,0.98,1.1794448490093244e-05,5.0,32,medium,A2C,COMPLETE
53,460.61995173785726,2022-09-11 00:05:05.237512,2022-09-11 07:34:57.542859,0 days 07:29:52.305347,elu,0.92,0.98,4.707044733118361e-05,2.0,32,small,A2C,COMPLETE
54,257.0788428877925,2022-09-11 01:04:14.899097,2022-09-11 07:48:45.208980,0 days 06:44:30.309883,leaky_relu,0.9,0.995,3.210267748326701e-05,0.6,32,medium,A2C,COMPLETE
55,421.09964538504937,2022-09-11 01:41:22.842738,2022-09-11 09:01:44.146183,0 days 07:20:21.303445,elu,0.95,0.98,1.273854530147473e-05,1.0,32,medium,A2C,COMPLETE
56,473.8826777993854,2022-09-11 02:04:53.152905,2022-09-11 09:25:34.828478,0 days 07:20:41.675573,elu,0.8,0.99,2.116908846981851e-05,2.0,1024,medium,A2C,COMPLETE
57,85.78370636417371,2022-09-11 02:30:59.292163,2022-09-11 09:35:16.418924,0 days 07:04:17.126761,elu,0.8,0.99,0.00021012434425743726,2.0,1024,medium,A2C,COMPLETE
58,268.9607995999853,2022-09-11 03:11:22.467631,2022-09-11 11:58:21.425965,0 days 08:46:58.958334,elu,0.92,0.995,5.374447874258519e-05,0.6,32,big,A2C,COMPLETE
59,261.1222591190864,2022-09-11 04:28:44.135232,2022-09-11 11:49:24.681030,0 days 07:20:40.545798,elu,0.92,0.995,0.00016391768871873278,0.6,32,small,A2C,COMPLETE
60,379.00847552274064,2022-09-11 06:01:31.162296,2022-09-11 15:17:10.527312,0 days 09:15:39.365016,leaky_relu,0.8,0.99,2.1691144807105908e-05,2.0,32,medium,A2C,COMPLETE
61,327.0621096018836,2022-09-11 07:34:57.599010,2022-09-11 14:44:35.833203,0 days 07:09:38.234193,leaky_relu,0.95,0.99,4.496791877122808e-05,2.0,1024,medium,A2C,COMPLETE
62,430.7948463565308,2022-09-11 07:48:45.263163,2022-09-11 14:30:12.435597,0 days 06:41:27.172434,elu,0.92,0.995,0.00010140465962261393,0.6,2048,small,A2C,COMPLETE
63,236.45790577993543,2022-09-11 09:01:44.198456,2022-09-11 16:13:01.258927,0 days 07:11:17.060471,elu,0.92,0.98,0.00029197562020989547,0.6,256,small,A2C,COMPLETE
64,391.5063686067859,2022-09-11 09:25:34.889605,2022-09-11 16:47:22.785469,0 days 07:21:47.895864,elu,0.8,0.995,1.0226419205068316e-05,0.8,1024,small,A2C,COMPLETE
65,521.7687893284738,2022-09-11 09:35:16.472975,2022-09-11 16:58:10.531547,0 days 07:22:54.058572,tanh,0.8,0.95,4.803222655358794e-05,0.6,8,big,A2C,COMPLETE
66,479.0730629019633,2022-09-11 11:49:24.736298,2022-09-11 18:57:22.510499,0 days 07:07:57.774201,leaky_relu,0.8,0.99,1.8059207729522065e-05,0.9,1024,medium,A2C,COMPLETE
67,428.77468988298006,2022-09-11 11:58:21.500624,2022-09-11 20:43:52.126923,0 days 08:45:30.626299,leaky_relu,0.8,0.99,4.160566133180983e-05,0.3,2048,medium,A2C,COMPLETE
68,523.9275895049541,2022-09-11 14:30:12.488489,2022-09-11 21:34:12.879329,0 days 07:04:00.390840,tanh,0.92,0.95,0.0006037450364261861,0.9,1024,big,A2C,COMPLETE
69,494.7586000428205,2022-09-11 14:44:35.893361,2022-09-11 21:46:19.374135,0 days 07:01:43.480774,leaky_relu,0.8,0.99,2.3435672717660052e-05,0.3,2048,medium,A2C,COMPLETE
70,-149.40882114928604,2022-09-11 15:17:10.584390,2022-09-12 00:23:55.995499,0 days 09:06:45.411109,elu,0.92,0.95,0.0011196546973791283,0.7,1024,medium,A2C,COMPLETE
