,reward,v_violations,i_violations,losses,demand,T,tau,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6
0,-14.67660161290337,0.14108306363095446,0.2934788465261951,0.2748164032817289,25081.99787363728,16,6,100,1,1,1,1000,1000
1,373.3558791526554,0.12783234653559405,0.27597280551667763,0.26988901235295976,24692.082156761946,16,6,100,1,1,1,1000,1000
2,672.9322677225451,0.08298240916260902,0.21981959034322288,0.254936816016718,23678.583567591173,16,6,100,1,1,1,1000,1000
3,604.3743330277767,0.02809761794362442,0.15424292343958926,0.23830905923082896,22510.92109420602,16,6,100,1,1,1,1000,1000
4,543.0139910555498,0.0017543516660890601,0.07439476079565707,0.21918835542452456,21008.209187279794,16,6,100,1,1,1,1000,1000
5,-154.64353065880925,0.0,0.00968982789167157,0.20404948162505102,20047.916615063496,16,6,100,1,1,1,1000,1000
6,397.427223768497,0.0,0.012187863271116584,0.20464087372505588,20097.42112565993,16,6,100,1,1,1,1000,1000
7,749.0558722549106,0.0,0.0,0.1986596054409684,20445.97701714971,16,6,100,1,1,1,1000,1000
8,504.28736690121826,0.0,0.0,0.19233223360840873,20172.49151317061,16,6,100,1,1,1,1000,1000
9,549.2251723436775,0.0,0.0,0.12496536689373768,20506.311000962196,16,6,100,1,1,1,1000,1000
10,713.1492496234341,0.0,0.0,0.04682295499606488,21522.492314762905,16,6,100,1,1,1,1000,1000
11,382.6284930475842,0.0,0.0,0.020458701645898515,22652.227311166214,16,6,100,1,1,1,1000,1000
12,613.111412050073,0.0,0.0,0.023243902380669406,22801.255247910427,16,6,100,1,1,1,1000,1000
13,809.9745770216128,0.0,0.0,0.025422978387210086,23441.827943861823,16,6,100,1,1,1,1000,1000
14,719.9751593102926,0.0,0.0,0.024840689707418026,23432.61295523757,16,6,100,1,1,1,1000,1000
15,807.2470330651616,0.0,0.0,0.022006088891095465,23141.67787053557,16,6,100,1,1,1,1000,1000
16,809.9791209797044,0.0,0.0,0.02087902029566798,23191.274891393543,16,6,100,1,1,1,1000,1000
17,-228.0512794870973,0.0,0.0,0.08293398300757983,23220.7388165585,16,6,100,1,1,1,1000,1000
18,781.4615277037681,0.053852879045243274,0.0,0.19304607078465572,26059.181583416266,16,6,100,1,1,1,1000,1000
19,616.1457061305867,0.13485023449813593,0.13349818675099215,0.23577223284877058,27075.781010097897,16,6,100,1,1,1,1000,1000
20,686.7844890699479,0.1751162317085896,0.18774601228784463,0.24943718757908492,28128.26178720451,16,6,100,1,1,1,1000,1000
21,647.0799594673341,0.18878842888123848,0.2156730514410634,0.25661780904336645,28284.11745972275,16,6,100,1,1,1,1000,1000
22,784.7164557109936,0.17979986392680258,0.202548962938353,0.2530932839736936,28138.282167315883,16,6,100,1,1,1,1000,1000
23,-291.2267233955324,0.11923354462808711,0.1500481801222925,0.23923525926771497,26700.262607522727,16,6,100,1,1,1,1000,1000
24,681.447054313639,0.12901421399250157,0.1640585795504802,0.2426432054240679,26645.702551635608,16,6,100,1,1,1,1000,1000
25,610.1130407531535,0.06999628424423143,0.10555505581450746,0.22775011658444164,25091.539007315692,16,6,100,1,1,1,1000,1000
26,679.9765834534538,0.02593916151637765,0.05936154763965575,0.21635123435376974,24077.122879570372,16,6,100,1,1,1,1000,1000
27,718.4491748883992,0.012966750664784699,0.04203361663531112,0.21211642848711873,22456.607817285163,16,6,100,1,1,1,1000,1000
28,629.1705925401773,0.005897710489177754,0.03033069982264948,0.20930571108227988,22046.10568003874,16,6,100,1,1,1,1000,1000
29,535.9714631345623,0.0047748033248480315,0.024171158105195614,0.20790599391543135,22023.85747136864,16,6,100,1,1,1,1000,1000
30,678.1115908334981,0.007769559060584408,0.03372158561731822,0.21013600221869075,22177.982114904746,16,6,100,1,1,1,1000,1000
31,670.6235709393567,0.023022283597429638,0.05770127322972542,0.2159003294650435,22908.48973993207,16,6,100,1,1,1,1000,1000
32,611.8978664700771,0.031189861125494267,0.04662665098277372,0.21355361856350222,23536.270295651742,16,6,100,1,1,1,1000,1000
